"MMSI;""IMO"";""Status"";""RecvTime"";""MessageID"";""NavigationalStatus"";""ROT"";""SOG"";""PositionAccuracy"";""longitude"";""latitude"";""Altitude"";""COG"";""TrueHeading"";""RAIM"";""OffPosition"""
"205283000;NULL;""OK"";""2017-03-18 21:29:10"";""1"";""0"";""0.0"";""16.4"";""1"";""-76.25065"";""16.950933"";""-1"";""292.5"";""294"";""0"";""0"""
"205283000;NULL;""OK"";""2017-03-18 21:32:02"";""1"";""0"";""0.0"";""16.3"";""1"";""-76.263283"";""16.956067"";""-1"";""294.3"";""294"";""0"";""0"""
"205283000;NULL;""OK"";""2017-03-18 21:48:38"";""1"";""0"";""0.0"";""16.2"";""1"";""-76.335583"";""16.98545"";""-1"";""293.5"";""293"";""0"";""0"""
"205283000;NULL;""OK"";""2017-03-18 22:09:27"";""1"";""0"";""0.0"";""16.4"";""1"";""-76.4253"";""17.021883"";""-1"";""292.6"";""293"";""0"";""0"""
"205283000;NULL;""OK"";""2017-03-18 22:30:15"";""1"";""0"";""0.0"";""16.2"";""1"";""-76.515633"";""17.058617"";""-1"";""293.8"";""292"";""0"";""0"""
"205283000;NULL;""OK"";""2017-03-18 22:46:26"";""1"";""0"";""0.0"";""16.1"";""1"";""-76.5857"";""17.08705"";""-1"";""292.3"";""292"";""0"";""0"""
"205283000;NULL;""OK"";""2017-03-18 23:02:45"";""1"";""0"";""0.0"";""16.3"";""1"";""-76.656333"";""17.11575"";""-1"";""294.3"";""294"";""0"";""0"""
"205283000;NULL;""OK"";""2017-03-18 23:19:03"";""1"";""0"";""0.0"";""16.1"";""1"";""-76.72685"";""17.14435"";""-1"";""291.4"";""293"";""0"";""0"""
"205283000;NULL;""OK"";""2017-03-18 23:35:03"";""1"";""0"";""0.0"";""16.0"";""1"";""-76.795717"";""17.172317"";""-1"";""291.3"";""292"";""0"";""0"""
"205283000;NULL;""OK"";""2017-03-18 23:56:21"";""1"";""0"";""0.0"";""16.1"";""1"";""-76.887233"";""17.209483"";""-1"";""294"";""292"";""0"";""0"""
"205283000;NULL;""OK"";""2017-03-19 00:11:57"";""1"";""0"";""0.0"";""16.3"";""1"";""-76.954783"";""17.23685"";""-1"";""294.6"";""292"";""0"";""0"""
"205283000;NULL;""OK"";""2017-03-19 00:27:51"";""1"";""0"";""0.0"";""16.5"";""1"";""-77.023917"";""17.264933"";""-1"";""293.6"";""292"";""0"";""0"""
"205283000;NULL;""OK"";""2017-03-19 00:43:45"";""1"";""0"";""0.0"";""16.5"";""1"";""-77.0934"";""17.293183"";""-1"";""290.7"";""291"";""0"";""0"""
"205283000;NULL;""OK"";""2017-03-19 00:57:04"";""1"";""0"";""0.0"";""16.2"";""1"";""-77.151417"";""17.3168"";""-1"";""291.8"";""291"";""0"";""0"""
"205283000;NULL;""OK"";""2017-03-19 00:59:32"";""1"";""0"";""0.0"";""16.2"";""1"";""-77.162183"";""17.3211"";""-1"";""293.2"";""290"";""0"";""0"""
"205283000;NULL;""OK"";""2017-03-19 01:15:15"";""1"";""0"";""0.0"";""16.2"";""1"";""-77.23095"";""17.34815"";""-1"";""281.7"";""276"";""0"";""0"""
"205283000;NULL;""OK"";""2017-03-19 01:26:04"";""1"";""0"";""0.0"";""17.0"";""1"";""-77.279783"";""17.36405"";""-1"";""301.9"";""300"";""0"";""0"""
"205283000;NULL;""OK"";""2017-03-19 01:33:26"";""1"";""0"";""0.0"";""17.2"";""1"";""-77.31145"";""17.382183"";""-1"";""299.3"";""299"";""0"";""0"""
"205283000;NULL;""OK"";""2017-03-19 01:48:57"";""1"";""0"";""999.9"";""15.2"";""1"";""-77.378317"";""17.40915"";""-1"";""273.2"";""277"";""0"";""0"""
"205283000;NULL;""OK"";""2017-03-19 02:00:10"";""1"";""0"";""0.0"";""16.4"";""1"";""-77.42405"";""17.431117"";""-1"";""294.2"";""294"";""0"";""0"""
"205283000;NULL;""OK"";""2017-03-19 02:04:39"";""1"";""0"";""0.0"";""16.5"";""1"";""-77.44395"";""17.439217"";""-1"";""291.7"";""290"";""0"";""0"""
"205283000;NULL;""OK"";""2017-03-19 02:20:50"";""1"";""0"";""0.0"";""16.9"";""1"";""-77.5177"";""17.465367"";""-1"";""290.5"";""292"";""0"";""0"""
"205283000;NULL;""OK"";""2017-03-19 02:36:33"";""1"";""0"";""0.0"";""17.0"";""1"";""-77.589017"";""17.494133"";""-1"";""292.9"";""296"";""0"";""0"""
"205283000;NULL;""OK"";""2017-03-19 03:04:39"";""1"";""0"";""0.0"";""16.5"";""1"";""-77.713717"";""17.54465"";""-1"";""292.8"";""293"";""0"";""0"""
"205283000;NULL;""OK"";""2017-03-19 03:27:46"";""1"";""0"";""0.0"";""16.3"";""1"";""-77.815083"";""17.585667"";""-1"";""293.1"";""293"";""0"";""0"""
"205283000;NULL;""OK"";""2017-03-19 04:04:28"";""1"";""0"";""0.0"";""15.9"";""1"";""-77.9747"";""17.6503"";""-1"";""292.5"";""292"";""0"";""0"""
"205283000;NULL;""OK"";""2017-03-19 05:09:39"";""1"";""0"";""0.0"";""15.8"";""1"";""-78.2492"";""17.761433"";""-1"";""292.5"";""294"";""0"";""0"""
"205283000;NULL;""OK"";""2017-03-19 05:44:46"";""1"";""0"";""0.0"";""16.2"";""1"";""-78.3997"";""17.822283"";""-1"";""293.2"";""294"";""0"";""0"""
"205283000;NULL;""OK"";""2017-03-19 05:51:47"";""1"";""0"";""0.0"";""16.2"";""1"";""-78.430533"";""17.834783"";""-1"";""291.9"";""293"";""0"";""0"""
"205283000;NULL;""OK"";""2017-03-19 06:14:16"";""1"";""0"";""0.0"";""16.4"";""1"";""-78.528383"";""17.874367"";""-1"";""292.2"";""293"";""0"";""0"""
"205283000;NULL;""OK"";""2017-03-19 07:04:09"";""1"";""0"";""0.0"";""16.5"";""1"";""-78.749983"";""17.963933"";""-1"";""292.2"";""290"";""0"";""0"""
"205283000;NULL;""OK"";""2017-03-19 07:22:52"";""1"";""0"";""0.0"";""16.6"";""1"";""-78.833317"";""17.997617"";""-1"";""292.1"";""291"";""0"";""0"""
"205283000;NULL;""OK"";""2017-03-19 07:25:38"";""1"";""0"";""0.0"";""16.4"";""1"";""-78.845717"";""18.002617"";""-1"";""293"";""291"";""0"";""0"""
"205283000;NULL;""OK"";""2017-03-19 07:25:43"";""1"";""0"";""0.0"";""16.6"";""1"";""-78.846083"";""18.002767"";""-1"";""292.8"";""291"";""0"";""0"""
"205283000;NULL;""OK"";""2017-03-19 07:25:45"";""1"";""0"";""0.0"";""16.6"";""1"";""-78.846083"";""18.002767"";""-1"";""292.8"";""291"";""0"";""0"""
"205283000;NULL;""OK"";""2017-03-19 07:46:22"";""1"";""0"";""0.0"";""16.8"";""1"";""-78.937683"";""18.039817"";""-1"";""293.9"";""291"";""0"";""0"""
"205283000;NULL;""OK"";""2017-03-19 07:51:46"";""1"";""0"";""0.0"";""16.7"";""1"";""-78.961867"";""18.04955"";""-1"";""292.7"";""290"";""0"";""0"""
"205283000;NULL;""OK"";""2017-03-19 08:11:27"";""1"";""0"";""0.0"";""16.9"";""1"";""-79.050533"";""18.085333"";""-1"";""292.7"";""291"";""0"";""0"""
"205283000;NULL;""OK"";""2017-03-19 08:17:59"";""1"";""0"";""0.0"";""17.0"";""1"";""-79.08"";""18.09725"";""-1"";""292.9"";""291"";""0"";""0"""
"205283000;NULL;""OK"";""2017-03-19 08:41:28"";""1"";""0"";""0.0"";""16.9"";""1"";""-79.18655"";""18.140283"";""-1"";""291.3"";""292"";""0"";""0"""
"205283000;NULL;""OK"";""2017-03-19 08:43:40"";""1"";""0"";""0.0"";""16.9"";""1"";""-79.19655"";""18.144283"";""-1"";""292.9"";""292"";""0"";""0"""
"205283000;NULL;""OK"";""2017-03-19 09:07:10"";""1"";""0"";""0.0"";""16.9"";""1"";""-79.30355"";""18.187533"";""-1"";""293.6"";""294"";""0"";""0"""
"205283000;NULL;""OK"";""2017-04-07 07:19:43"";""1"";""0"";""0.0"";""15.1"";""1"";""-75.265217"";""16.550367"";""-1"";""294.5"";""289"";""0"";""0"""
"205283000;NULL;""OK"";""2017-04-07 07:55:02"";""1"";""0"";""0.0"";""15.1"";""1"";""-75.40735"";""16.608217"";""-1"";""293.1"";""291"";""0"";""0"""
"205283000;NULL;""OK"";""2017-04-07 09:07:31"";""1"";""0"";""0.0"";""16.0"";""1"";""-75.706583"";""16.73"";""-1"";""288.4"";""291"";""0"";""0"""
"205283000;NULL;""OK"";""2017-04-07 09:40:15"";""1"";""0"";""0.0"";""15.7"";""1"";""-75.84455"";""16.786133"";""-1"";""292.5"";""291"";""0"";""0"""
"205283000;NULL;""OK"";""2017-04-07 10:11:49"";""1"";""0"";""0.0"";""16.0"";""1"";""-75.979083"";""16.8409"";""-1"";""291.7"";""292"";""0"";""0"""
"205283000;NULL;""OK"";""2017-04-07 10:46:01"";""1"";""0"";""0.0"";""16.0"";""1"";""-76.123283"";""16.899533"";""-1"";""293.7"";""293"";""0"";""0"""
"205283000;NULL;""OK"";""2017-04-07 10:49:51"";""1"";""0"";""0.0"";""15.7"";""1"";""-76.13935"";""16.90605"";""-1"";""293.9"";""294"";""0"";""0"""
"205283000;NULL;""OK"";""2017-04-07 10:50:44"";""1"";""0"";""0.0"";""15.7"";""1"";""-76.1431"";""16.907583"";""-1"";""293.3"";""293"";""0"";""0"""
